,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,broome,42.2506,-75.833,14.0,85,75,6.91,US,1613098102
338,jeremoabo,-10.075,-38.4808,70.52,88,38,8.61,BR,1613098096
339,joshimath,30.5667,79.5667,52.09,30,100,4.18,IN,1613098374
340,longyan,25.1072,117.0225,58.69,75,92,3.24,CN,1613098374
341,meulaboh,4.1363,96.1285,84.6,68,93,2.77,ID,1613098375
342,izhma,65.0083,53.9113,-11.31,89,100,2.82,RU,1613098375
343,vezirkopru,41.1436,35.4547,46.4,57,0,10.36,TR,1613098375
344,gorontalo,0.5412,123.0595,91.18,57,79,2.33,ID,1613098375
345,fort nelson,52.6517,6.3861,19.0,92,0,1.01,NL,1613098376
346,tiznit,29.5833,-9.5,56.61,75,0,1.21,MA,1613098376
347,tilichiki,60.4667,166.1,-17.54,83,0,12.21,RU,1613098376
348,tecoanapa,16.5167,-98.75,75.31,83,0,6.8,MX,1613098376
349,kavaratti,10.5669,72.642,81.64,58,24,7.25,IN,1613098320
350,lermontovka,47.1453,134.3383,28.78,90,100,8.25,RU,1613098099
351,hualmay,-11.0964,-77.6139,72.81,75,91,6.04,PE,1613098377
352,san pedro,13.3034,-4.8956,74.95,17,0,8.43,ML,1613098118
353,sovetskiy,61.3614,63.5842,-24.34,86,23,1.79,RU,1613098377
354,sao jose da coroa grande,20.5113,76.2129,71.55,22,99,7.58,IN,1613098377
355,divinopolis,-20.1389,-44.8839,67.37,91,100,3.15,BR,1613098377
356,shingu,33.7333,135.9833,55.4,44,75,3.44,JP,1613098378
357,san quintin,13.3034,-4.8956,74.95,17,0,8.43,ML,1613098118
358,kysyl-syr,63.8986,122.7617,-14.49,88,58,3.62,RU,1613098378
359,calbuco,-41.768,-73.1273,55.4,82,40,6.91,CL,1613098327
360,mbandaka,0.0487,18.2603,75.78,66,0,3.33,CD,1613098378
361,darab,28.7519,54.5444,50.77,40,0,1.48,IR,1613098097
362,middelburg,-25.7751,29.4648,59.31,84,5,12.08,ZA,1613098379
363,longyearbyen,78.2186,15.6401,3.2,72,40,16.11,SJ,1613098379
364,ampanihy,-24.7,44.75,74.16,73,99,8.68,MG,1613098379
365,malakal,9.5334,31.6605,72.14,22,1,4.94,SS,1613098379
